56,Starbucks Coffee House Blend Capsules 10s,3,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_757378_BP_4.jpg,coffee,87,198,123,-1
57,Taylors of Harrogate Rich Italian Ground Coffee,4,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_016410_BP_4.jpg,coffee,103,177,112,-1
58,Starbucks Coffee Espresso Roast Capsules 10s,3,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_863857_BP_4.jpg,coffee,100,212,161,-1
59,L'Or Ristretto Capsules 10s,2.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_496724_BP_4.jpg,coffee,91,204,156,-1
60,No.1 Sumatra Mandheling Ground Coffee,3.5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_059129_BP_4.jpg,coffee,103,176,158,-1
61,L'Or Lungo Profondo Capsules 10s,2.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_607591_BP_4.jpg,coffee,100,204,110,-1
62,illy Intenso Ground Coffee,5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_075487_BP_4.jpg,coffee,103,166,158,-1
63,Nescafe Gold Blend Roastery Dark Roast Instant Coffee,3,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_763322_BP_4.jpg,coffee,90,221,106,-1
64,Waitrose Decaffeinated Gold Roast Instant Coffee,2.25,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_651501_BP_4.jpg,coffee,90,192,107,-1
65,illy Classico Coffee Beans,5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_394840_BP_4.jpg,coffee,90,165,147,-1
66,Taylors of Harrogate Hot Lava Java 10 Coffee Bags,3.15,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_708299_BP_4.jpg,coffee,103,222,147,-1
67,Nestle Coffee Mate Original Coffee Whitener,2.8,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_099623_BP_4.jpg,coffee,95,167,121,-1
68,Kenco Decaff Instant Coffee Refill,3.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_403264_BP_4.jpg,coffee,88,185,126,-1
69,Raw Bean Definitely Decaf Ground Coffee,4,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_832253_BP_4.jpg,coffee,103,169,135,-1
70,illy Decaffeinated Ground Coffee,5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_093424_BP_4.jpg,coffee,103,168,135,-1
71,Starbucks Coffee Decaf Espresso Roast Capsules 10s,3,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_568299_BP_4.jpg,coffee,101,203,161,-1
72,Taylors of Harrogate Decaff� Ground Coffee,4,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_016409_BP_4.jpg,coffee,103,192,135,-1
73,Nescafe Original Decaff Instant Coffee,2.2,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_016839_BP_4.jpg,coffee,90,169,109,-1
74,Clipper Fairtrade Super Special Decaf Instant Coffee,4,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_019208_BP_4.jpg,coffee,90,216,138,-1
75,Waitrose Italian Style Coffee Beans,2.5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_016615_BP_4.jpg,coffee,90,226,108,-1
76,Green & Black's Fairtrade Organic Cocoa,2.2,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_065794_BP_4.jpg,coffee,102,216,117,-1
77,Emmi Caff� Latte Skinny,1.25,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_024614_BP_4.jpg,coffee,95,231,151,-1
78,Waitrose Colombian Ground Coffee,3.3,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_016604_BP_4.jpg,coffee,103,216,158,-1
79,No.1 Peru Decaffeinated Ground Coffee,3.5,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_058408_BP_4.jpg,coffee,103,168,135,-1
80,L'Or Colombia Capsules 10s,2.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/4/LN_795344_BP_4.jpg,coffee,100,165,157,-1
