233,Hovis Seed Sensations Original Seven Seeds,1.85,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_783454_BP_9.jpg,Bakery,tesco_match,morrisons_match,sainsburys_match,waitrose_match
269,Tesco Pesto & Cheese Flatbread 205G,1.3,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/b34831a1-d5a2-4ee7-bc7b-54663609a4c9/c3a90ce6-19f6-4e96-b854-bae6278ae7d8.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
270,Warburtons Gluten Free 4 Soft Seeded Sliced Rolls,2.5,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/dd4499a4-b8fc-4845-b953-767b4c8a754b/d8ed621f-a3ef-4fc6-bb51-539ac80225f5.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
271,Tesco Finest 4 Blueberry Hot Cross Buns,1.5,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/4ae1c7e9-1bd8-442d-ba60-d6fc36e6f3c1/f885b312-e9c8-4ed7-8d4e-b54bfbe46fd8.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
272,Tgi Fridays The Fudge Fixation,4,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/5ed9a6bc-fa98-4e09-bfa1-27f1f06c8579/ab0e6b81-9f4e-4bd1-885f-81e1d205d5ba.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
273,Thorntons Toffee Cake,9,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/1f0c16a9-74dd-47cb-8180-b8cea6b14e39/e7f56422-bf27-4f08-a065-ad9fcb8d8188.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
274,Tesco Frankie The French Bulldog Cake,11,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/6e200625-9f54-470c-bf1b-6e30ed6ae303/3150cb9d-dfc3-43a3-9600-ab6d4f25c7a8.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
275,Disney Cars Lightning Mcqueen Chocolate Cake,13,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/60f0da17-7dfe-4372-b6eb-4f64424f13d4/628b0f9c-f400-4a15-b61c-1418aa710bb2.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
276,Tesco Pick & Mix Cupcake,13,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/bebc21b8-6125-4dbc-80cf-ee3dc3b978f9/c5fc41dd-ead2-4d1c-9ef5-d9d086c5d47c.jpeg?h=540&w=540,Bakery,-1,-1,-1,-1
277,Innocent Pineapple Banana & Coconut Smoothie 750Ml,3.3,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/f2d6f91f-9fde-4586-b3f3-a4a30d7bf216/e1707a7f-5bf6-4ca7-9002-2a321ed28f53.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
278,Porta 6 Lisboa Wine 2.25L,19,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/c0422ca4-22a1-4d00-abdf-bc23a053bdee/842acbe1-e9cf-4f56-9f9b-d511bf1e6588_859052603.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
279,Edinburgh Gin Clementine & Ginger Liqueur 50Cl,16.5,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/aecef15d-6c4c-41bd-96fa-e8920ddc1491/0eb0ebba-9b82-43c0-b35d-486de11b7f89_2042340047.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
280,19 Crimes Revolutionary Rose Wine 750Ml,9,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/911c76a0-5c68-4bf3-8a11-4be32e4fde54/11eea6e2-bcb9-468f-8e79-09b5065d2000_1921987086.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
281,Maschio Prosecco Extra Dry 75Cl,9,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/20af8fce-35cd-4fe2-9958-f981a4daf7ea/snapshotimagehandler_333679200.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
282,Nescafe Gold Blend Alta Rica Instant Coffee 190G,6,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/1f4d9352-b8b7-40f2-8e20-5dcd1dc308a3/0e4eadbf-ba8b-46f0-ba0b-939af749a560_1640557751.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
283,Yellow Tail Jammy Rose Roo Wine 750Ml,7,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/9d907412-f5fc-47b7-b815-57c60e2d78e6/4ef856f4-2ca6-4324-a215-f472d645a5a0_2006121757.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
284,Tropicana Orange Extra Juicy Bits 900Ml,2.75,Tesco,,https://digitalcontent.api.tesco.com/v2/media/ghs/32afd0b5-8be9-4b5e-9b2a-944157dca76d/45a13de2-d853-4df6-ba1a-54ee971194ae.jpeg?h=540&w=540,Drinks,-1,-1,-1,-1
