25,Hovis Seed Sensations Original Seven Seeds,1.85,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_783454_BP_9.jpg,Bakery
26,Waitrose 4 all butter sultana scones,1.44,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_617129_BP_9.jpg,Bakery
27,Waitrose St Clements Hot Cross Buns,1.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_898863_BP_9.jpg,Bakery
28,Waitrose Wholemeal Hot Cross Buns,1.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_397033_BP_9.jpg,Bakery
29,Waitrose Soft White Medium Sliced,1.00,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_075319_BP_9.jpg,Bakery
30,Bertinet Bakery Seeded Sourdough,1.65,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_692759_BP_9.jpg,Bakery
31,Hovis Wholemeal Sliced Bread,1.00,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_755786_BP_9.jpg,Bakery
32,Essential 8 Large Tortilla Wraps,1.10,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_493820_BP_9.jpg,Bakery
33,New York Bakery Co sesame bagels,1.75,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_052785_BP_9.jpg,Bakery
34,New York Bakery Co. Original Bagel Thins,1.20,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_582964_BP_9.jpg,Bakery
35,Jackson's White Bloomer,1.60,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_563526_BP_9.jpg,Bakery
36,Schweppes Indian tonic water,4.90,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_025879_BP_9.jpg,Drinks
37,Pepsi Max,4.50,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_775505_BP_9.jpg,Drinks
38,Evian Still Mineral Water,4.75,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_058019_BP_9.jpg,Drinks
39,Innocent Smoothie Mangoes Passion Fruits & Apples,2.30,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_548569_BP_9.jpg,Drinks
40,Essential Apple Juice,0.95,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_021419_BP_9.jpg,Drinks
41,Robinsons no added sugar lemon,1.25,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_058378_BP_9.jpg,Drinks
42,Twinings Cold Infuse And Breathe 12s,4.00,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_654204_BP_9.jpg,Drinks
43,Twinings Cold Infuse Metabolism 12s,4.00,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_491527_BP_9.jpg,Drinks
44,Clearspring Organic Kukicha Roasted Twig 20 Tea Sachets,3.50,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_714651_BP_9.jpg,Drinks
45,Roastworks Pe De Cedro Brazil Whole Beans,6.50,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_616149_BP_9.jpg,Drinks
46,Red Bull energy drink,2.20,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_377455_BP_9.jpg,Drinks
47,Magnum Vegan Mini Classic Almond,4.50,Waitrose,,https://ecom-su-static-prod.wtrecom.com/images/products/9/LN_863906_BP_9.jpg,Frozen
